Number of Runs,5
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),200

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,0.5,Mutation Rate,0.02

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,
Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,
Generation 40,141.8563046140494,104.18662523648891,,Generation 40,184.32042589526958,143.2337074980818,,Generation 40,243.90647308964046,174.33741596279538,,Generation 40,248.14363312960904,190.8681999408533,,Generation 40,322.4377671398217,263.85920448748277,
Generation 41,119.96427973314121,88.69698791327721,,Generation 41,182.63543813326646,139.55777468436338,,Generation 41,247.354821415937,180.36466924320928,,Generation 41,236.93537291242114,183.73395375987172,,Generation 41,318.30014517727386,252.98401766838185,
Generation 42,105.27120241096743,78.2020283625186,,Generation 42,193.95258879755966,125.468457197823,,Generation 42,243.09790455454757,165.88939381516957,,Generation 42,244.72793529023704,186.7911888348001,,Generation 42,301.2235974259997,256.0012620381225,
Generation 43,111.91880752527139,75.65008968047982,,Generation 43,188.74899541620434,124.245506243607,,Generation 43,238.7425058294891,173.62769596886608,,Generation 43,240.6329884831262,179.74297165160056,,Generation 43,289.06719571643214,240.29197226646568,
Generation 44,122.96385813776963,77.04798842433661,,Generation 44,170.05028523115226,116.40884801463085,,Generation 44,222.1609348876947,159.7445024167805,,Generation 44,224.13150703523172,176.2370377853082,,Generation 44,282.22686328269305,243.47183957648576,
Generation 45,93.73839135566051,69.07517292605951,,Generation 45,161.7830205293892,114.25733213512353,,Generation 45,210.95795468477934,161.5988578024684,,Generation 45,216.69204145122413,171.7295938501992,,Generation 45,278.5187899547653,232.5663491400137,
Generation 46,118.68469343601795,61.26748376109083,,Generation 46,137.79143871026997,100.08488702274178,,Generation 46,198.38601466145806,159.74065655090385,,Generation 46,212.00837406214114,162.5146353681614,,Generation 46,287.9208056217051,234.1464759035166,
Generation 47,122.01868824145157,67.18586855857609,,Generation 47,140.12109365947356,100.48156339362913,,Generation 47,206.0101493677049,153.2670600560548,,Generation 47,223.61162865164832,161.1811534996442,,Generation 47,288.94062024105614,225.68139483182108,
Generation 48,103.99831801973733,66.80673179951134,,Generation 48,138.57539030432142,99.79633078637846,,Generation 48,193.00902588714874,138.62513491063248,,Generation 48,208.5347036774043,156.4340926614551,,Generation 48,288.57325179881525,229.99580838722568,
Generation 49,82.69007959915571,59.10380683455185,,Generation 49,134.8858237658845,92.50195850521754,,Generation 49,186.61334190152303,144.82311525651437,,Generation 49,214.28393121329157,159.81310628723577,,Generation 49,270.3864229305768,211.2410591677492,
Generation 50,107.76928534974681,59.80199684909519,,Generation 50,142.5431317231521,88.6729278415255,,Generation 50,183.6324792274025,141.10592502010684,,Generation 50,214.2306904153695,157.6672976882071,,Generation 50,259.5493319705218,214.60559989704393,
Generation 51,75.94041578664508,47.88625120077097,,Generation 51,143.83475137576224,84.75245210763558,,Generation 51,184.54487366560465,139.82454339841502,,Generation 51,215.1757293266129,136.77762262462988,,Generation 51,272.9902095783858,214.8603115150148,
