Number of Runs,2
Number of Generations,1000
N (Size of Cromosome),5
P (Size of Population),20

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,0.5,Mutation Rate,0.01

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,
Generations,Mean,Lowest,All Gene Stand Div,,Generations,Mean,Lowest,All Gene Stand Div,
Generation 36,13.113450140102293,12.463475232276842,1.247145844757261,,Generation 36,17.235063946846957,17.235063946846964,1.364877923729603,
Generation 37,12.463475232276839,12.463475232276842,1.2505260781426684,,Generation 37,17.235063946846957,17.235063946846964,1.364877923729603,
Generation 38,12.463475232276839,12.463475232276842,1.2505260781426684,,Generation 38,17.280260556079504,17.235063946846964,1.365247079631666,
Generation 39,12.463475232276839,12.463475232276842,1.2505260781426684,,Generation 39,17.235063946846957,17.235063946846964,1.364877923729603,
Generation 40,15.181718425155008,12.463475232276842,1.2525512290804366,,Generation 40,17.235063946846957,17.235063946846964,1.364877923729603,
Generation 41,12.344688827372178,7.869411953588141,1.2380466632346578,,Generation 41,17.963159903593652,17.235063946846964,1.3684373622109143,
Generation 42,13.027458280030203,7.869411953588141,1.225260850293516,,Generation 42,17.235063946846957,17.235063946846964,1.364877923729603,
Generation 43,11.774365740473533,7.869411953588141,1.2026169955841108,,Generation 43,17.235063946846957,17.235063946846964,1.364877923729603,
Generation 44,13.316324280410774,7.869411953588141,1.174950154375161,,Generation 44,18.667152849513833,17.235063946846964,1.4116547952702065,
Generation 45,11.360395960595852,7.869411953588141,1.1715321134946837,,Generation 45,17.235063946846957,17.235063946846964,1.364877923729603,
Generation 46,7.869411953588144,7.869411953588141,0.8091053902333434,,Generation 46,18.02704970613116,17.235063946846964,1.361111561865438,
Generation 47,8.089863770426046,7.869411953588141,0.8084348038737211,,Generation 47,17.686652289941414,17.235063946846964,1.3613751771702898,
Generation 48,7.869411953588144,7.869411953588141,0.8091053902333434,,Generation 48,18.491635318820244,17.235063946846964,1.4555253575118103,
Generation 49,7.998872682143206,7.743340949906106,0.832100200983876,,Generation 49,17.235063946846957,17.235063946846964,1.364877923729603,
Generation 50,10.797408859776487,7.869411953588141,1.0550684356787883,,Generation 50,20.521949040310194,17.235063946846964,1.4505165383473282,
Generation 51,8.931674203702617,7.869411953588141,0.8192243045879946,,Generation 51,18.03150045827751,17.235063946846964,1.3604253958588743,
Generation 52,8.589237489760308,7.869411953588141,0.921446848207813,,Generation 52,17.333882299828396,17.235063946846964,1.365579977336507,
Generation 53,9.051940920186249,7.869411953588141,0.8161490977100493,,Generation 53,17.235063946846957,17.235063946846964,1.364877923729603,
Generation 54,7.777476183122173,6.030696544268729,0.808696786659139,,Generation 54,18.390356443149734,17.235063946846964,1.4458461780541647,
Generation 55,10.410638983495257,6.030696544268729,0.8999659047606821,,Generation 55,18.624198493368745,17.235063946846964,1.4402913281290426,
Generation 56,9.49703162625109,6.030696544268729,0.9192464737655306,,Generation 56,17.235063946846957,17.235063946846964,1.364877923729603,
Generation 57,8.02152567832446,6.030696544268729,0.8024051624557282,,Generation 57,19.084082762132066,17.112791296747687,1.3728341362214034,
Generation 58,7.803312625195309,6.030696544268729,0.8321044224599056,,Generation 58,17.210609416827104,17.112791296747687,1.3648403540055944,
Generation 59,6.826992316060934,6.030696544268729,0.8037713396857595,,Generation 59,17.16781398929236,17.112791296747687,1.3647745885110634,
Generation 60,7.534460033429913,6.030696544268729,0.7989336015426649,,Generation 60,16.961604346887377,13.84450699934304,1.364405900592368,
Generation 61,6.030696544268726,6.030696544268729,0.8008402728840628,,Generation 61,17.22727189659873,13.84450699934304,1.357976876136052,
Generation 62,6.204213950357612,6.030696544268729,0.801576477748193,,Generation 62,15.968891792656052,13.84450699934304,1.362557375757773,
Generation 63,6.030696544268726,6.030696544268729,0.8008402728840628,,Generation 63,14.357936724353172,13.84450699934304,1.35951859715815,
Generation 64,8.278742577797033,6.030696544268729,0.932590489054232,,Generation 64,15.762699963290185,13.84450699934304,1.3676565090330088,
Generation 65,7.200075064330052,6.030696544268729,0.826953082896236,,Generation 65,13.844506999343034,13.84450699934304,1.3585215797496768,
Generation 66,6.030696544268726,6.030696544268729,0.8008402728840628,,Generation 66,14.910551820589712,13.84450699934304,1.4203658988214305,
Generation 67,6.40617220186369,6.030696544268729,0.8383229137590875,,Generation 67,14.419978246449258,13.84450699934304,1.362828163044096,
Generation 68,8.461557289683386,6.030696544268729,0.7968759758303634,,Generation 68,14.666672567654638,13.84450699934304,1.3635306287925848,
Generation 69,6.030696544268726,6.030696544268729,0.8008402728840628,,Generation 69,14.593983031468829,13.84450699934304,1.3627252190309247,
Generation 70,6.872587913732356,6.030696544268729,0.8045576747923774,,Generation 70,13.834129432699052,13.636955666463365,1.3576137233804144,
Generation 71,6.030696544268726,6.030696544268729,0.8008402728840628,,Generation 71,14.32542316909383,13.636955666463365,1.3581744520105026,
Generation 72,6.494346353789718,6.030696544268729,0.8109987136818196,,Generation 72,13.730353766259219,13.636955666463365,1.348470178120489,
Generation 73,6.02980533673802,6.012872393654639,0.8008094617658943,,Generation 73,13.668088366395313,13.636955666463365,1.342926682301225,
Generation 74,6.026240506615205,6.012872393654639,0.8006861581212934,,Generation 74,14.49120500160895,13.636955666463365,1.3371383671574701,
Generation 75,9.607159577233213,6.012872393654639,1.0480018402297535,,Generation 75,13.636955666463365,13.636955666463365,1.340138588582843,
Generation 76,6.013763601185348,6.012872393654639,0.8002538492529161,,Generation 76,14.704374546370383,13.636955666463365,1.3460608796245415,
Generation 77,6.344927992399713,6.012872393654639,0.8014659940288493,,Generation 77,13.636955666463365,13.636955666463365,1.340138588582843,
