Number of Runs,10
Number of Generations,1000
N (Size of Cromosome),100
P (Size of Population),100

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,0.5,Mutation Rate,0.01

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,,Run 6,,,,Run 7,,,,Run 8,,,,Run 9,,,,Run 10,,,
Generations,Mean,Lowest,All Gene Stand Div,,Generations,Mean,Lowest,All Gene Stand Div,,Generations,Mean,Lowest,All Gene Stand Div,,Generations,Mean,Lowest,All Gene Stand Div,,Generations,Mean,Lowest,All Gene Stand Div,,Generations,Mean,Lowest,All Gene Stand Div,,Generations,Mean,Lowest,All Gene Stand Div,,Generations,Mean,Lowest,All Gene Stand Div,,Generations,Mean,Lowest,All Gene Stand Div,,Generations,Mean,Lowest,All Gene Stand Div,
Generation 11,1170.1205492276467,1027.5194090960426,2.215823904035887,,Generation 11,1186.5373574330363,1020.2976354589758,2.3132397861807164,,Generation 11,1255.5209088210268,1111.1731565308685,2.3337557677341336,,Generation 11,1236.3726629819207,1088.5775065656765,2.3381716752949884,,Generation 11,1264.99546408048,1038.1135016281692,2.3547474114115454,,Generation 11,1188.9415449517078,1014.3281730710916,2.2685571161300744,,Generation 11,1228.243438565106,1107.6162710980254,2.328357083394533,,Generation 11,1233.2875300393055,1078.8628869586692,2.3115326116951183,,Generation 11,1237.874800387151,1078.0484160769522,2.4291366405731734,,Generation 11,1187.323281653952,994.2472532494795,2.250925822396226,
Generation 12,1127.3022146193405,953.2427517518389,2.1744980400456635,,Generation 12,1139.146340829915,956.5002697706083,2.2803980381221036,,Generation 12,1217.1135610158685,1094.0677706210458,2.2895330357845953,,Generation 12,1194.0456243335545,1005.4859296042029,2.3002836819159618,,Generation 12,1205.2015924765399,1018.7685661062028,2.2952740593183867,,Generation 12,1145.6524014866534,989.4191524381766,2.232213667661582,,Generation 12,1187.2801302223813,1057.4580737281522,2.2740790364288177,,Generation 12,1201.681545446112,1029.1680512943158,2.2924092153048794,,Generation 12,1192.687050702125,1060.407504515965,2.378872811383375,,Generation 12,1135.2207094792852,931.5580027092533,2.1911965321997977,
Generation 13,1080.0579028824961,976.7729352711674,2.113511404024187,,Generation 13,1092.7385079516525,952.9040447520085,2.222533191206591,,Generation 13,1185.5141513691044,1074.6865275831954,2.255653664650623,,Generation 13,1140.9673217545119,1004.0726822472805,2.2341136064736657,,Generation 13,1144.9194791008533,998.1018708749667,2.236636580286284,,Generation 13,1103.239150687511,956.4185175588516,2.1932194606427213,,Generation 13,1144.7821650517915,1010.5051287739822,2.2319565447763883,,Generation 13,1153.9930844270134,1004.4394487832815,2.233788634294747,,Generation 13,1157.6948959243894,977.1878961779992,2.35391533832169,,Generation 13,1098.9422720536281,959.1253370514333,2.1561003418233056,
Generation 14,1047.31706560597,908.604261207379,2.0856250709520494,,Generation 14,1055.5288691043766,936.1993104132035,2.1804237593480886,,Generation 14,1146.756461032248,1016.042510155251,2.215544401673061,,Generation 14,1093.5789831102866,943.0934896357047,2.1911204843658103,,Generation 14,1097.117852447891,929.1370814730586,2.188038454948509,,Generation 14,1054.6387478834395,886.0094326583514,2.1381464148420286,,Generation 14,1106.624495928688,974.0725677460961,2.1987471467624116,,Generation 14,1118.7415938927215,971.0628014416541,2.1850413773055988,,Generation 14,1120.219082380031,978.8060507745772,2.3203024248047037,,Generation 14,1062.3820909314732,931.2732352782433,2.1158407458709627,
Generation 15,1009.7189281588627,875.3319605923302,2.0420505688955335,,Generation 15,1014.2439740611495,882.0280506335274,2.1141587768410037,,Generation 15,1119.4872969055625,955.7745601714647,2.176299235083408,,Generation 15,1058.9402641835666,905.4560894821227,2.1366104412520333,,Generation 15,1051.2303351065918,912.7364173074968,2.1510915075111097,,Generation 15,1023.2723887881704,926.8088465917053,2.1043361366500193,,Generation 15,1071.9838002789745,911.4148552350056,2.182500181920161,,Generation 15,1075.6315728815694,941.0925856610731,2.112494405035307,,Generation 15,1083.427129354823,968.281770752018,2.288726157323836,,Generation 15,1022.3085416619717,864.377834252721,2.076542271639311,
Generation 16,980.5883239350794,843.3961627415625,2.0205088845753574,,Generation 16,982.8874517150457,894.0506583225093,2.063871063588508,,Generation 16,1083.6477108870101,962.6626917113512,2.1109642659963628,,Generation 16,1018.3975404839892,892.5422169189177,2.09673839432844,,Generation 16,1010.4555733448012,849.6815868806679,2.0873670072186745,,Generation 16,996.6050586887404,862.5917451834471,2.0862248856244237,,Generation 16,1036.3882442749994,888.2880651998468,2.148384806728821,,Generation 16,1039.3917455014507,901.8529766715036,2.0820932934034193,,Generation 16,1059.1470649153798,930.7805208945974,2.267933264528603,,Generation 16,985.1266691992337,816.8050384234457,2.0198986692004866,
Generation 17,936.2332356065868,793.4933703281479,1.9730645883204996,,Generation 17,962.7804439271363,866.2185175272195,2.0317827282167538,,Generation 17,1050.9411209284006,918.682698060309,2.0728345718178867,,Generation 17,970.3418561490909,856.3614966629252,2.0451502854082206,,Generation 17,971.0192868690434,848.504692638219,2.050893060446539,,Generation 17,966.7241967849045,822.5535043114066,2.0661565170244645,,Generation 17,1006.0173540636694,878.6568586626466,2.139251304190033,,Generation 17,999.1806055958406,853.2956168534199,2.0206707734868257,,Generation 17,1032.0693126839067,874.790388973948,2.2291960094857384,,Generation 17,949.4424914728187,814.4364398052425,1.971170615387769,
Generation 18,905.985672487232,780.203696985532,1.9348073553030534,,Generation 18,932.6050358402761,817.7816496845522,2.0071079555928764,,Generation 18,1014.2196813695687,868.3003688229245,2.033345776953054,,Generation 18,941.7071975642717,805.6594712597475,2.002297019830691,,Generation 18,932.2835208213339,796.5364656352308,2.004065918553678,,Generation 18,930.4223148196974,816.8641683691011,2.0284596667024255,,Generation 18,976.3384299758311,862.6141008895644,2.0976638700047285,,Generation 18,964.5408436157381,838.6885632034084,1.980094489793464,,Generation 18,989.0391206889371,843.8731456163376,2.1927900917065646,,Generation 18,902.7002234286841,730.5180287115402,1.9142315941938695,
Generation 19,886.0618780465198,769.6422599461429,1.930828671560088,,Generation 19,907.6909565353769,793.7741330908456,1.986887174659282,,Generation 19,988.4993962804058,851.8895910998255,2.005323657900788,,Generation 19,903.6490048260066,760.405940300758,1.9598536814634926,,Generation 19,909.115689216456,781.0669331088495,1.9931235380420664,,Generation 19,900.5781049712937,783.6977661043999,1.9976358912954504,,Generation 19,949.7239900756432,846.2174084689163,2.0635396797203938,,Generation 19,924.5127950871531,809.6442910727799,1.9272431599544861,,Generation 19,950.836565616586,840.9941950894535,2.14340921678582,,Generation 19,861.9308678035927,723.5927011738922,1.8452155546633644,
Generation 20,855.703558010292,730.2782486063802,1.8963707529173135,,Generation 20,882.9366481402083,729.9639958409255,1.9559908646583362,,Generation 20,952.2776037080853,829.5174916854326,1.9620927775155017,,Generation 20,872.5251661147727,742.5015475457865,1.906517104711238,,Generation 20,868.5070805384398,727.8614334580465,1.948688890868652,,Generation 20,869.1013242697129,774.1107714020357,1.9498239889654003,,Generation 20,912.6766554347839,771.1361348513501,2.0110129464337647,,Generation 20,892.5170244102894,797.4693094109699,1.898572150061868,,Generation 20,922.2792327379636,820.1635945785263,2.1200772600452265,,Generation 20,821.9028694495614,698.6405096948051,1.788109246236267,
