Number of Runs,1
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),100

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,0.5,Mutation Rate,0.02

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,
Generations,Mean,Lowest,All Gene Stand Div,
Generation 53,431.86025777843514,388.26019737246725,1.4178463541454962,
Generation 54,430.4959915660207,383.738034599602,1.4063341325962317,
Generation 55,427.53857447343216,386.7657092590614,1.3976257741588978,
Generation 56,424.498399742973,363.68177456143746,1.3958075490064747,
Generation 57,418.86844449816795,366.7206468710151,1.3897162386205077,
Generation 58,417.20242337698284,357.0137768672589,1.3890792832807444,
Generation 59,414.4440110032252,365.9377426030936,1.3831288730296545,
Generation 60,410.28825146642436,339.10635762334095,1.3756064309264975,
Generation 61,409.1251416281464,357.9344474624859,1.3748286088434218,
Generation 62,405.2957421778769,345.655733210428,1.3699631375803891,
Generation 63,401.7133161338243,338.46886205729936,1.3728577338166272,
Generation 64,397.0567922421931,351.2929298437467,1.3694726547092333,
Generation 65,399.36693764020134,348.1828678362033,1.3738931974445794,
Generation 66,396.8308240363731,349.15579277574466,1.3755295964729386,
Generation 67,394.05414668282106,332.24932258130616,1.3734661978722653,
Generation 68,389.0942917774193,335.5013046349985,1.3637229127484263,
Generation 69,385.8633736671212,331.5904318311109,1.361000958402432,
Generation 70,380.5433019558443,325.9561040172847,1.3554793844673005,
Generation 71,376.33610336150554,322.4986489815135,1.349475625091079,
Generation 72,373.68970205376013,324.9253688082382,1.3519867954718814,
Generation 73,373.99824800404997,323.03680329482995,1.3441765660660734,
Generation 74,374.7618517287392,322.5411553728587,1.3413949526957645,
Generation 75,372.3773259978583,329.1348546205278,1.341659291564096,
Generation 76,371.69111439277816,315.44278751228353,1.3452550703657429,
Generation 77,367.6831082661675,301.62759020696683,1.3442642080813059,
Generation 78,362.325184723533,308.0861955858288,1.3430790069688232,
Generation 79,357.98716606186923,314.36230522355584,1.342381824359485,
Generation 80,353.96448357644977,311.55702151615344,1.3443614507636183,
Generation 81,352.60649657376,308.1963102311181,1.342920548981585,
Generation 82,354.0372736829928,296.8395775962066,1.3413902610709525,
Generation 83,349.05968770435226,300.4882843059901,1.3406254925531107,
Generation 84,345.9427850098923,299.13613108731965,1.3335051458959304,
Generation 85,341.98021150978633,290.0888279332239,1.3301409678710978,
Generation 86,341.5276423782044,301.55566078591085,1.3273346493957785,
Generation 87,344.34140606329925,300.80696136714346,1.3261916988891487,
Generation 88,344.55248232021086,281.74568670448195,1.323650834946271,
Generation 89,343.2183189165275,284.2727447865243,1.320228207801921,
Generation 90,342.5261551616446,288.6879140721933,1.3152887276111744,
Generation 91,337.4571312124853,289.3062335114503,1.3158488161664434,
Generation 92,333.82073538404023,284.2825151407545,1.3131422372858144,
Generation 93,328.8219448851292,275.434704851129,1.3093592199842048,
Generation 94,324.62534108594525,276.9632923894152,1.3111139973072667,
Generation 95,323.13812041509436,267.1683161818562,1.3109300834479862,
Generation 96,322.3587045778414,275.4474164690945,1.3082884538446569,
Generation 97,319.78654524330784,273.2869850011256,1.3086148577735224,
Generation 98,318.7205563239327,275.37727298015056,1.3103593242103975,
Generation 99,319.7542186657501,261.75099267097767,1.307378446414427,
Generation 100,317.6736768485516,270.3437955989143,1.3062909862285714,
Best,317.6736768485516,261.75099267097767,
Generation,100,99,

1,6,-,2,3,-,1,3
