Number of Runs,1
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),100

Selection,Survivor
Survivor Elite percentage,0.6
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,1,Mutation Rate,0.03

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,
Generations,Mean,Lowest,All Gene Stand Div,
Generation 63,366.5818261626747,333.6050167073281,1.369734818672818,
Generation 64,365.2393726215209,328.47487129325066,1.3638513704355706,
Generation 65,363.2364830651184,319.65345216797164,1.3630421119375884,
Generation 66,359.1341572412086,312.2483355210338,1.3576144927667149,
Generation 67,354.0409547294403,311.81134128282747,1.3539851946900285,
Generation 68,348.8808803321151,308.78682053622947,1.3515179609742733,
Generation 69,347.10250645883303,310.5746415602108,1.3465015989151252,
Generation 70,342.8499477513134,308.1083256637087,1.3417283316794588,
Generation 71,339.1309971560202,307.60136626929057,1.344672571543679,
Generation 72,346.2137147824565,298.67883389737506,1.3416928026333925,
Generation 73,347.3195643277512,299.7647111939623,1.3345976431317914,
Generation 74,345.2721061525304,284.09422661984854,1.3257718357142878,
Generation 75,341.2664202840385,292.80994248356944,1.3287818572534653,
Generation 76,338.3229654507633,282.79221151146623,1.3238149401121933,
Generation 77,331.706774113184,290.1896898991846,1.317318783012963,
Generation 78,334.32558279658815,289.8197498383945,1.3100565278386478,
Generation 79,331.56855110326387,282.98647795675845,1.308038014787439,
Generation 80,327.9447492484339,275.1596325190286,1.3004901478831417,
Generation 81,326.08827626155784,275.1525111910215,1.3006734340447135,
Generation 82,321.8605849330612,271.30420550495626,1.291885444102401,
Generation 83,321.79167523212203,271.9577303310856,1.287243635164436,
Generation 84,317.3091161632754,269.46205237783704,1.285831105608612,
Generation 85,316.2540071034695,256.6329607060827,1.2789789935159974,
Generation 86,314.5211582471446,252.18963344412043,1.2674744074447093,
Generation 87,301.2758072081834,254.41701967505833,1.2519983288888459,
Generation 88,301.1725345932892,259.5586001628254,1.2395306939102608,
Generation 89,308.00792092988473,256.1608706383496,1.2423547796207226,
Generation 90,305.02996831307746,238.50605867097772,1.2369277448610954,
Generation 91,305.82330575782294,248.35270918713638,1.235881865358873,
Generation 92,299.2214277954506,249.89123257827214,1.235297704445779,
Generation 93,297.0115720339256,254.07713131918968,1.2273478794573982,
Generation 94,299.05417653822656,238.3257740107863,1.2206528554694398,
Generation 95,292.52334072293456,255.2366994336769,1.216706149517683,
Generation 96,293.15887355644077,248.12032932077875,1.214652789790518,
Generation 97,290.9606675772414,240.81288408978526,1.204452593097782,
Generation 98,291.18147902325285,249.44733539406263,1.1925181997202214,
Generation 99,294.7578881473137,240.9489573500191,1.1915633357025548,
Generation 100,291.58491398015394,242.82373512982122,1.1878416687224946,
Best,290.9606675772414,238.3257740107863,
Generation,97,94,

1,6,-,4,5,-,3,3
