Number of Runs,5
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),200

Selection,Survivor
Survivor Elite percentage,0.4
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,1,Mutation Rate,0.02

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,
Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,
Generation 60,239.4523892431268,197.9264125232928,,Generation 60,236.6224859554604,199.90405168708696,,Generation 60,211.2047948285017,168.82378206102635,,Generation 60,226.80257937244477,177.22554346658444,,Generation 60,247.64048839069966,201.90931716826196,
Generation 61,239.16186926998174,194.11410489153513,,Generation 61,235.92669487296578,195.05931028361454,,Generation 61,210.1287152428187,160.5841169142493,,Generation 61,225.84485428991485,186.14521721286803,,Generation 61,246.6809998057852,199.4275171270982,
Generation 62,234.1780012858613,195.2960351036172,,Generation 62,234.232829945777,189.37523612949406,,Generation 62,208.1243076538607,167.59907023902974,,Generation 62,223.7188870515652,178.46976850395845,,Generation 62,247.2178402353436,193.6280750998135,
Generation 63,232.4236270379697,175.22998890012911,,Generation 63,233.44680778588253,184.37681367588016,,Generation 63,206.3265714676598,163.8271544371562,,Generation 63,218.61082456484266,173.16310519904266,,Generation 63,245.7728280520087,192.37968839347855,
Generation 64,228.92675535608552,179.18885182117936,,Generation 64,230.16756757959348,185.79708489275856,,Generation 64,205.30610973028007,164.14236226967944,,Generation 64,217.155227497838,175.82677397842315,,Generation 64,244.4810645369646,197.85466765692354,
Generation 65,224.74524295362372,180.56643901566213,,Generation 65,226.01854097765735,173.18261002999282,,Generation 65,204.94958453311682,171.01857291974238,,Generation 65,213.83245321586713,169.41057212615453,,Generation 65,238.82646787908297,199.65463818719923,
Generation 66,221.56166122629932,183.441075508665,,Generation 66,225.28335445298785,181.16210264360143,,Generation 66,207.8691651404407,165.60175942288765,,Generation 66,214.63542604449347,168.46679677883094,,Generation 66,237.33314176833517,191.5457054102452,
Generation 67,219.56283957925174,169.8867236787239,,Generation 67,223.93958522473594,169.48396005203097,,Generation 67,206.82266770304216,160.80372100309103,,Generation 67,210.5923037804472,165.93636738266957,,Generation 67,233.9371204684174,189.76756674195917,
Generation 68,219.80798409434686,174.4726265173898,,Generation 68,219.66344378958044,167.284947918714,,Generation 68,203.91030336956098,165.77905158290457,,Generation 68,213.80979613165914,167.17443766597387,,Generation 68,231.41219715440718,182.10209960384464,
Generation 69,218.56930590783475,175.50489235800785,,Generation 69,217.77803898154772,167.36244801558485,,Generation 69,201.68013296316497,158.86575164401222,,Generation 69,213.40256366348333,166.91925127235913,,Generation 69,229.59455696872647,179.02488692273062,
Generation 70,218.72538977809342,167.15565395626209,,Generation 70,212.12320946127144,169.5297115718604,,Generation 70,199.5619822079482,156.66728858568695,,Generation 70,208.25279993799631,164.7462963264801,,Generation 70,225.3183179134183,181.45628703503314,
Generation 71,217.1505569662238,167.06523402048117,,Generation 71,209.622502253933,161.79460910272292,,Generation 71,200.0077019108099,160.8409005295921,,Generation 71,206.57822711994322,162.45146181761515,,Generation 71,221.97140939312033,182.50895220029872,
Generation 72,215.6433041726558,171.87647158963773,,Generation 72,208.81622122212258,167.3596650691576,,Generation 72,199.56209240409441,158.7899813715834,,Generation 72,207.09435231114475,162.953349554037,,Generation 72,222.05705960952636,174.0517350936708,
Generation 73,214.41207545381712,173.2596806414009,,Generation 73,206.14918653444002,168.1428025230715,,Generation 73,198.75470433804765,158.7899813715834,,Generation 73,204.5771783229153,150.36542983247296,,Generation 73,222.02522616966235,177.1720183756869,
Generation 74,213.2200288773395,164.11022792059134,,Generation 74,204.52705025188843,161.30297807400768,,Generation 74,198.8618327232429,157.11379151938888,,Generation 74,201.93174614337494,157.40613302156953,,Generation 74,220.01815037787807,177.88266687624343,
Generation 75,208.23792735242088,169.85371675488182,,Generation 75,203.52762172578335,157.32674931693884,,Generation 75,198.46035784848405,151.309786715133,,Generation 75,202.6225950380537,149.2851413106597,,Generation 75,222.56271209736332,173.39325017180045,
Generation 76,206.6096860556302,164.82741116897284,,Generation 76,202.35537034718575,154.0004767737513,,Generation 76,195.46753804637498,157.80112094393462,,Generation 76,202.2566184462303,149.32315800819367,,Generation 76,220.6747417626622,171.78356358791893,
Generation 77,202.7905169966167,163.22313172691508,,Generation 77,199.7192797622579,155.5964634368887,,Generation 77,195.52939500221925,152.87868116262814,,Generation 77,197.50943263083133,152.6752347305228,,Generation 77,220.2186134476673,169.53845049144468,
Generation 78,200.6507444370662,162.89293265292838,,Generation 78,201.1559389126274,149.636097670318,,Generation 78,194.04626655067298,156.8228026195219,,Generation 78,193.89931355796838,153.40304783138674,,Generation 78,217.5523613029783,169.37073507090315,
