Number of Runs,5
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),200

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,0.5,Mutation Rate,0.02

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,
Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,
Generation 39,317.6786018100676,272.06623937464803,,Generation 39,330.47683987033366,281.1121179041543,,Generation 39,335.51936116106117,278.48291865356714,,Generation 39,346.29629459102165,294.4571823012334,,Generation 39,355.2012108631555,294.0625276425552,
Generation 40,325.74438659008575,266.2674129219189,,Generation 40,337.7678466295128,277.46376605399985,,Generation 40,329.01890224081626,264.47220420901795,,Generation 40,348.40800204163787,297.1968422754255,,Generation 40,349.8733762043287,272.3117917932434,
Generation 41,308.5614181959486,264.1288458680457,,Generation 41,334.19982225946575,275.45059491609686,,Generation 41,315.33029094769404,264.87402037666106,,Generation 41,349.0021444747914,274.6960907097773,,Generation 41,332.7863263850631,269.4067706475347,
Generation 42,300.1626532126682,249.70490156880032,,Generation 42,330.7100918664179,269.91029069943215,,Generation 42,320.12252856370736,246.01396116049477,,Generation 42,342.6038291180669,272.84602820890893,,Generation 42,336.3214086343287,259.44167212373645,
Generation 43,305.33454768631503,255.5662681348631,,Generation 43,328.6640233654946,263.36979851489093,,Generation 43,305.46310381416293,263.94490691402666,,Generation 43,323.63961465288173,255.30619459928107,,Generation 43,316.0158226474209,264.43471039864994,
Generation 44,300.6631819591371,253.4306552691114,,Generation 44,324.553476289673,260.7961868169898,,Generation 44,310.3006440376498,255.70070662420972,,Generation 44,318.6644104964964,251.09247110488138,,Generation 44,307.207113975039,260.93814806471823,
Generation 45,292.0781382517326,248.27932689878207,,Generation 45,302.2882037148021,251.47193320057613,,Generation 45,314.32134657372967,242.82808027146075,,Generation 45,317.6371950144237,255.34510522020184,,Generation 45,304.32118346120325,258.4615894659719,
Generation 46,300.62783034469606,246.95173107388234,,Generation 46,307.01213921349324,243.2983838435366,,Generation 46,291.33618041839486,239.20109829969647,,Generation 46,311.0689015812446,250.89714701386742,,Generation 46,298.96045738277064,261.8294682029276,
Generation 47,298.35048296363004,253.13456420098055,,Generation 47,290.17831546876016,240.98690420441153,,Generation 47,284.91077267880445,238.9435276750429,,Generation 47,307.44517405512016,247.99275678163394,,Generation 47,311.34366333322305,252.9006645570804,
Generation 48,300.0894982198374,247.75720244205309,,Generation 48,298.88801936757244,227.00782357383684,,Generation 48,294.20819458676516,229.87605649630086,,Generation 48,303.26412210957585,246.725122602876,,Generation 48,299.8832213843117,251.6357336278495,
Generation 49,302.2949343172857,246.6668915355857,,Generation 49,290.40865376628267,227.56520144165302,,Generation 49,294.1434896708308,227.05309553912412,,Generation 49,301.59437117153374,246.36524533297347,,Generation 49,291.1989106746112,238.22827745282348,
Generation 50,284.4576124994148,246.00805552500572,,Generation 50,298.9361549252497,248.40396018428453,,Generation 50,294.76466932679836,233.76784641887218,,Generation 50,288.48493006388105,241.03875357027744,,Generation 50,286.8490641687543,246.04524164131783,
Generation 51,292.5039694821594,240.43779853696253,,Generation 51,301.8324757230834,241.32228003062278,,Generation 51,278.1410536982332,234.42434616776598,,Generation 51,281.7045936774508,241.43267159129368,,Generation 51,297.4406553640864,243.5374308067719,
Generation 52,291.5288676371792,235.64383212245775,,Generation 52,298.68810353210836,240.3300562847346,,Generation 52,281.5814299420674,231.1920060228805,,Generation 52,275.3312491931147,238.40173777524512,,Generation 52,298.1082216465305,246.81849250143068,
Generation 53,292.23013448532333,234.14824641169662,,Generation 53,282.9993103614481,230.53061026673913,,Generation 53,271.160645528187,218.31214307445953,,Generation 53,271.82246772334236,231.34146766464107,,Generation 53,282.6260854716086,239.9034662970745,
Generation 54,271.87043534617874,234.61427871121407,,Generation 54,270.290412202075,225.0135475628133,,Generation 54,262.7628618448624,225.24942992971194,,Generation 54,281.9856291197846,230.55103005281046,,Generation 54,291.87282162982314,242.1905030782517,
Generation 55,285.553588968644,224.61522406515223,,Generation 55,262.3208301747299,220.20803789808224,,Generation 55,269.3946599510978,220.54574703862932,,Generation 55,268.04931628841894,227.63654222483797,,Generation 55,279.43730482433,239.46439082795575,
Generation 56,269.1744848359605,222.95346607767988,,Generation 56,270.6921464189773,223.49283901643764,,Generation 56,273.2219692267117,214.50410282489634,,Generation 56,260.0417049225987,221.20991683647094,,Generation 56,291.1622973132646,236.97198827824002,
Generation 57,266.90329099615224,224.49049832309663,,Generation 57,268.52870447679527,209.97213930595876,,Generation 57,256.5782729631172,218.23507117063446,,Generation 57,268.87967241296525,225.02170033566438,,Generation 57,286.2303290378307,235.240733987147,
Generation 58,259.4465794085955,217.42641830915375,,Generation 58,258.1878864581308,210.24688573618926,,Generation 58,252.81059721094763,215.0736475601202,,Generation 58,262.23509606558764,223.32921672060536,,Generation 58,276.05490294300284,233.56528222531426,
Generation 59,254.1910623263254,218.9257338033433,,Generation 59,264.31373666432364,205.25523477410184,,Generation 59,246.53677707904484,212.84772592887566,,Generation 59,254.50218396108244,220.24344341037954,,Generation 59,286.9979847717061,226.14437760066244,
Generation 60,251.54294645254612,214.3123489278397,,Generation 60,261.3388495097562,212.54379485555967,,Generation 60,255.78056507789762,210.443997571208,,Generation 60,254.32479856979882,218.7258697410266,,Generation 60,268.9452298469372,226.68673472497107,
Generation 61,264.08059050849596,216.09207137105216,,Generation 61,250.18802001032088,207.52366980833597,,Generation 61,264.02008153310084,208.02989581893598,,Generation 61,253.7745604693837,213.84286164955165,,Generation 61,275.18123780799505,223.79810936141882,
Generation 62,264.8077981987907,210.07013215875816,,Generation 62,243.77926941588856,204.09728594896478,,Generation 62,259.07188669426773,207.81210421116498,,Generation 62,252.54519885370752,203.84548464916543,,Generation 62,263.09206952656956,225.8679879228447,
Generation 63,263.4849879138503,206.35429742993722,,Generation 63,240.32948563694703,196.7870599783081,,Generation 63,241.8921124394678,203.38924272076338,,Generation 63,249.9143309399893,203.86064005089952,,Generation 63,275.36290876333334,221.79332084002783,
