Number of Runs,5
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),200

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,0.5,Mutation Rate,0.02

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,
Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,
Generation 44,324.3321216597216,275.38975061904307,,Generation 44,324.8102507660389,268.19688437832247,,Generation 44,341.19759713956245,280.9985029537081,,Generation 44,414.58035073701177,346.1668854968226,,Generation 44,348.4367840248462,290.24809306066777,
Generation 45,327.54835102821306,262.9927891904118,,Generation 45,319.56723958008575,262.45874394057364,,Generation 45,324.4746878514529,254.00080098310855,,Generation 45,410.268896058928,354.75610251708736,,Generation 45,346.7476858718356,288.76444157654976,
Generation 46,314.37475673198793,267.62537825010907,,Generation 46,323.9534188924726,263.7782798826745,,Generation 46,328.2556915815956,269.69283482614594,,Generation 46,404.41284783083853,340.9023246563419,,Generation 46,331.7634796914054,291.12528479029413,
Generation 47,321.8620463807484,256.4793940241616,,Generation 47,316.8029021467216,253.5867048583733,,Generation 47,311.10380184967954,267.0365443394493,,Generation 47,402.42231264612417,330.30335399327873,,Generation 47,339.5369661633516,291.50290533259476,
Generation 48,305.7782899997415,253.99576892737048,,Generation 48,315.039132950348,253.00194658041778,,Generation 48,313.5012809890911,265.28261990436044,,Generation 48,396.20467506624715,332.43479762495497,,Generation 48,331.21547133263454,285.90883928154926,
Generation 49,297.5759520470959,252.0059201324642,,Generation 49,298.9302880734342,256.28161314952786,,Generation 49,321.3318344169387,261.7915833357449,,Generation 49,391.35744349181135,321.1226743678536,,Generation 49,333.22895175406217,284.0442751184321,
Generation 50,302.3268612896622,247.1915087507483,,Generation 50,307.4390260497103,247.71857038215614,,Generation 50,317.3849992034168,261.887145405639,,Generation 50,387.58188076147997,324.67656662333263,,Generation 50,335.187564840052,267.34119752751167,
Generation 51,286.88782854052045,236.5860362500879,,Generation 51,304.1974949044202,243.8461823857898,,Generation 51,310.8803561590163,258.2747493527552,,Generation 51,371.3987939968686,323.5104578418832,,Generation 51,317.7344413483346,266.5963979669759,
Generation 52,277.3731622770192,222.08737336546096,,Generation 52,291.0280639664497,241.24963057839125,,Generation 52,296.9563292933685,250.1029273034361,,Generation 52,361.5484325080313,305.74657769206647,,Generation 52,310.08013239188466,269.2230457301961,
Generation 53,284.13164536179045,234.04479449157725,,Generation 53,284.4045123792636,239.60968572944125,,Generation 53,299.44202815145377,239.24717611719257,,Generation 53,352.53075911417625,307.31580137339233,,Generation 53,306.87146500544617,268.9803191492929,
Generation 54,284.2852130863029,224.04002251488419,,Generation 54,276.1858812235979,231.37482560608828,,Generation 54,298.5071987314365,245.8312098239411,,Generation 54,344.72483429507025,300.6818846281802,,Generation 54,301.02385740674237,254.01491046196656,
Generation 55,269.4603468410354,220.5019420706409,,Generation 55,272.6500781484715,231.39602283179943,,Generation 55,286.51076227391695,239.42943209068528,,Generation 55,353.09293111613425,300.6094888865546,,Generation 55,310.21522448756116,256.9795499117689,
Generation 56,279.82336589516046,225.75778299951958,,Generation 56,266.4353246132629,220.51337649653965,,Generation 56,277.2704288828856,235.36395930118772,,Generation 56,354.29065513190073,288.78363440821397,,Generation 56,309.0078929279035,255.0163315858133,
Generation 57,266.001635253144,214.86611709041586,,Generation 57,275.39834606835814,227.24950176840844,,Generation 57,273.0871359432729,240.1710647768,,Generation 57,336.04026012537105,295.3105925050256,,Generation 57,305.61131375950595,246.10873487026515,
Generation 58,272.695931031819,211.69607231212592,,Generation 58,263.41153463371927,226.89650450734007,,Generation 58,271.064379746279,231.19834902203263,,Generation 58,342.2441075588495,285.4823549484156,,Generation 58,305.2887582462432,235.61549393543453,
Generation 59,258.47562064466683,213.03786422719327,,Generation 59,271.25869623115744,221.34326301731767,,Generation 59,282.2075923686523,221.36198961174637,,Generation 59,343.77411962847805,273.81030492864056,,Generation 59,286.0354457609194,236.20663469751082,
Generation 60,251.9158420953957,207.1408886618981,,Generation 60,274.89765037384024,219.66576964774686,,Generation 60,269.8447158320115,226.02868389370315,,Generation 60,340.9568847874606,278.1674565896833,,Generation 60,292.3793251487225,234.06387625122943,
Generation 61,246.27923847772774,204.04173582728117,,Generation 61,264.012263347983,215.04482139279685,,Generation 61,261.7255488246638,222.1753884044474,,Generation 61,327.4722582887737,278.88550255768223,,Generation 61,289.9731158767359,229.54072033378418,
Generation 62,242.8453377684725,196.28380906677694,,Generation 62,270.27649459738245,222.1176296636802,,Generation 62,272.83659827898975,226.41459645059376,,Generation 62,332.28545446722836,276.0342991406794,,Generation 62,289.32333278918014,232.7921528286413,
