Generation 10,185.6341014,191.2257176,187.5350596,185.8024975,188.256461,187.5512375,187.9312707,187.9108356,190.9448879,185.9956627,186.5043482,191.5789812,188.6243839,187.7071057,187.3701951,189.8651611,184.3147578,189.1459896,186.6346659,189.5494922,186.2826904,189.3327736,188.6922393,189.2763,185.6331124,186.1457507,184.5231287,189.859671,187.2714703,187.6607467,187.0226573,189.8945911,185.7459423,189.6852689,189.6582216,185.1941667,187.8816147,183.7997959,187.2909931,187.0811939,187.6940929,187.5682698,187.6210938,186.0861879,187.1109956,190.0320098,189.3587974,186.9256403,190.8408222,186.1690284,185.9144621,189.7236343,184.9528515,187.585759,186.7185132,188.023623,188.254621,187.639968,187.1324787,189.852278,185.8135543,190.8397514,188.3420234,189.7332122,187.0565165,187.2908113,192.4854833,185.326222,187.0251164,194.3127365,186.0248381,190.7125857,185.9511042,188.9961858,185.4141252,186.931347,188.8127947,186.4230663,186.7514322,191.5833188,187.5681549,188.3314424,186.6998861,187.4195091,186.3239382,188.4418654,189.1027471,186.662512,184.6370276,188.4554055,186.5271391,186.6313577,189.0141853,185.5189139,186.4544022,187.1559814,185.4969357,188.8357315,185.2753849,188.6664023,,,,187.7226542,183.7997959
Generation 11,186.5804524,185.2420486,185.6548609,185.1534372,186.7623365,186.8006627,186.6911175,184.5306929,183.4174759,188.60164,188.67412,183.2074077,187.425776,186.9365084,185.2646754,184.6655771,186.3912148,185.7897646,185.8330614,187.6724603,187.967357,189.9970105,185.8187862,188.0188551,190.0110465,181.7147814,186.1826753,186.5719404,186.436697,187.0447817,187.0370688,187.0917832,188.1699388,184.6168665,185.4044395,186.0744507,184.7085895,189.7918798,186.570793,185.7732429,184.6177058,185.29146,190.0678354,184.1911326,183.6737578,188.841793,187.4619678,182.9947671,188.905496,191.2576693,187.4393393,186.6143897,184.882933,186.2366889,184.9675783,185.4780749,185.8985737,188.625816,187.9827374,183.1957254,187.4067938,185.4972433,187.4282047,187.8486986,186.836355,186.128568,189.4094968,186.8869703,188.0679068,184.5093443,187.8054566,183.7341465,186.7151586,186.7833217,186.1659038,185.5518948,187.9730357,184.5211245,186.5406439,185.4351462,192.0567673,185.0086189,187.2049662,184.5431762,187.1433737,189.0653833,185.4204568,188.1478999,187.58718,185.8711347,186.1628243,186.8133384,183.0367047,189.5476757,185.0070615,186.9783969,185.8718413,185.872023,184.8706486,186.7634547,,,,186.4914206,181.7147814
Generation 12,185.8820759,185.9215331,185.1959778,184.9581783,185.8332944,186.3441029,183.3055124,184.6036279,184.9575142,188.348398,184.9524512,186.3966656,184.3886669,186.5893436,184.6858036,183.819017,185.3392204,191.0405856,185.7389341,184.9952791,182.8284555,185.4543284,184.1349408,187.667591,185.3900111,185.9462435,185.2689536,186.7762136,184.9970093,184.8790985,185.4850589,185.8196199,184.9959374,185.9797014,182.7715512,185.3578956,186.7814162,184.5828301,185.5446117,185.2582292,185.1392202,185.5063607,184.1500471,183.8624716,184.2855408,187.3217613,185.7341211,185.9283917,185.4168336,184.2899644,188.3088094,184.0776791,187.0941193,185.9464205,185.8918478,183.2068392,186.4942231,185.5722135,183.3839073,188.0207931,187.5899176,186.589241,184.902677,186.8484002,186.4050723,185.7341585,183.9481221,183.9896378,184.7904007,185.6240353,184.1482491,185.8729181,184.6175039,186.4122102,183.4406361,187.1341709,189.7040629,182.8642395,187.7840297,184.3774245,188.9893426,183.3600318,185.321005,183.1454106,184.6420333,189.6956695,187.1437216,185.0323491,185.0014755,184.9611303,185.7004046,184.1524112,183.9896155,184.7426505,188.2971251,182.0420489,186.6726938,190.0606988,186.1008492,184.7299927,,,,185.5540521,182.0420489
Generation 13,183.8592719,185.1382441,188.5471958,183.4524699,183.9333513,186.0101414,185.1569932,185.4490075,185.4657062,185.5307589,184.1488716,185.4195258,185.2416395,185.873616,183.5146483,185.0025574,184.3952113,184.1507876,184.3948288,183.7534973,184.8285488,185.4072103,185.6481194,185.7122072,185.2116446,186.4198778,182.4856395,185.8669129,185.7745269,186.4218983,184.311833,187.604365,186.7812956,183.3771432,182.3456621,186.7352389,182.8118187,181.9404963,185.5924268,184.8437389,184.3551701,184.4379618,183.8580562,185.502243,186.3857952,183.0426427,185.2741752,182.4331224,183.7173772,184.2934493,183.8605386,185.0661947,185.8462837,182.3901941,185.4323506,183.6832411,187.5362233,184.9543215,184.9706439,184.8241736,184.6286473,184.8412714,184.9687019,185.0637065,184.8405863,184.2401342,184.5958897,185.5071665,185.0280682,183.2206786,182.1734205,183.8498496,184.1758458,183.6650162,187.3560984,181.2005871,185.032363,183.6772197,182.9448918,184.2035101,185.0786984,184.0954499,186.3982046,185.1375472,184.9713344,181.5168638,183.8495594,182.6081599,183.6849241,185.6230844,186.4802934,184.448649,185.1102915,185.2482132,185.0749967,185.9814759,185.4490661,186.9447308,184.5838809,185.3698732,,,,184.7329204,181.2005871
Generation 14,184.0147559,180.9921035,186.0398782,182.4733272,183.7155247,184.6526014,184.1878829,184.0379938,185.440013,182.475788,184.9544919,183.6805082,182.7671384,184.5760461,184.1812776,183.0676254,182.3796452,185.4942039,182.5515499,183.4485748,184.819467,184.8417776,182.086601,185.6147668,184.5588917,183.9758669,183.8579825,185.7895641,181.8933931,183.2454824,184.2923593,184.5414072,185.2588401,184.7342553,182.0854519,185.3544219,184.3921938,184.3691064,184.0705663,183.2859061,184.3625769,186.5394626,183.9122787,181.5352969,184.8190537,183.7138326,185.1238208,183.4856446,183.5335132,185.8207749,185.8426098,184.2320415,182.606068,182.6013326,184.8774011,184.4210177,182.9573231,182.1486028,185.3056841,183.8075255,185.3567825,185.4724036,184.9469634,184.1917457,184.8944017,183.2930078,183.5725916,184.1587643,183.8038852,182.4428958,184.6317373,184.8309664,186.5392636,182.9716579,183.0298269,182.8225418,183.9246681,182.6381912,185.159778,183.0801842,183.810411,184.272144,180.687021,184.7152489,183.4094971,184.9717395,184.1006804,186.3640306,181.1450242,186.9623421,182.6499539,183.5351735,185.129004,183.4138223,184.7439239,182.6982962,183.6674088,183.6046043,183.3780876,187.0480016,,,,184.0191376,180.687021
Generation 15,183.371968,184.2959038,181.3304826,183.0065722,184.5297388,183.1286462,182.3740985,181.35573,183.0695544,184.8838502,184.2324215,183.8847768,183.4016527,185.0386899,183.423506,184.2269132,182.9740016,179.5854814,182.2413556,183.8686457,180.9454755,183.5282084,182.3598672,182.3677119,183.3884212,183.2960667,183.5611667,184.509837,183.8898716,183.7745512,185.3119604,181.4488277,183.8268021,183.8407987,184.7191406,181.1583169,184.5116896,181.9381752,182.2664811,182.6815009,183.7377965,183.218973,182.2703695,183.5086284,184.8246828,183.157376,182.6785864,183.0586802,181.3086785,183.965196,182.5233863,183.4882429,183.057371,184.7824925,183.5441994,183.5467594,182.8440823,185.1216793,183.8856108,183.0455885,184.9247994,183.5970917,183.0203075,182.7632922,182.7278972,182.6802899,184.364056,180.227363,185.0564676,182.2758947,182.6037304,183.9060554,181.894859,182.827382,184.34109,183.5074873,182.5506959,184.3212403,183.6841285,183.6646952,184.9686077,184.3877141,183.0205074,183.2962541,184.6553215,184.4404236,182.9611471,185.2868215,181.2154807,184.3744293,183.5202465,184.4917549,184.9029337,183.196819,184.0817142,182.1990065,182.8315604,183.8241094,185.0339757,181.9351666,,,,183.3468006,179.5854814
Generation 16,181.7813632,183.6050304,180.2988216,183.0122039,181.9289106,185.4822536,184.271628,183.0820802,179.7009572,185.0311093,180.7407381,182.8839858,182.5937956,184.021683,182.1758448,182.416878,182.985449,184.0102486,179.5774512,182.4063018,181.1511614,184.3171305,184.396164,181.7690383,184.2014735,182.4463535,180.8395179,183.8264786,179.5645436,183.5952371,183.9397217,184.0198382,182.7847748,181.711262,182.2293976,182.8201274,181.6810998,180.8726863,181.7755875,184.93637,184.7114535,180.8848017,182.5704531,183.0341533,183.0553272,183.2291793,183.0938136,183.1937107,183.127251,182.8767403,184.8681422,177.3006062,184.9690181,182.921726,181.0051665,180.8003148,182.035566,181.4260348,181.4690445,184.314931,181.034187,181.5999575,184.0466513,182.6699952,185.3664352,182.1690128,183.7146501,182.5633831,185.1072336,182.9244238,185.6296156,182.003403,182.3714664,182.7710603,183.854316,180.0441588,183.3473055,184.086699,183.4261472,181.448495,182.2583123,183.1945246,185.1985202,180.6546621,180.7978931,184.4461375,183.2671886,181.2676624,183.1258162,183.0814393,181.3578589,186.0615803,182.6854897,182.532449,182.9131848,184.349391,181.3507767,183.1230895,182.3125221,183.3076221,,,,182.7323685,177.3006062
Generation 17,182.1824706,182.523322,184.0298993,181.3043433,182.385862,181.2202799,181.8255117,181.5900507,182.5382622,181.7119704,181.0656134,182.7636246,182.0166908,181.1657654,182.4921476,181.3710667,182.5274358,181.2242459,183.614335,182.5825417,181.4308349,182.5866615,181.8395963,181.6283718,183.0706604,184.2731996,183.5773903,180.5964665,183.5326218,182.8846614,181.9716754,181.003703,181.2307582,182.9258753,182.7446943,181.3490081,181.4688833,179.0020154,182.5355315,180.9653221,179.3674362,180.3176794,183.3221578,182.4457299,182.3818547,182.8462665,180.9247228,178.6723481,183.3721664,182.4235608,182.2599823,184.6277695,182.3339582,180.3217587,182.7765386,182.5235032,181.7960392,181.8919974,182.5837085,182.8342783,182.3469606,181.5253455,181.0359965,182.8299577,182.5167594,180.3675105,183.7722167,180.8091494,183.6115255,181.6669964,180.9891158,182.1571153,181.0795685,179.3118034,177.1420923,183.0803631,182.8921973,182.0607689,181.1042547,182.7901175,184.7264691,181.3336313,182.996745,182.6763306,182.0713199,184.5632592,182.5721471,180.6210617,181.8757695,184.1219953,180.2879603,184.971883,182.2399416,180.6964701,182.7809282,183.0127481,181.4555988,180.4127389,182.5793796,181.3335998,,,,182.0319662,177.1420923
Generation 18,178.4469588,179.7320054,180.2003458,183.4363193,182.277767,180.550906,183.5650509,181.040428,179.4642278,184.9097665,182.1968605,178.365988,182.5380658,181.8570052,181.6389443,177.9109302,182.4990004,180.7581135,182.1047407,180.8609157,181.0535744,181.9799157,179.9444854,182.8743748,181.71631,181.7166641,182.3985908,182.7599929,181.4285173,181.0913127,181.1424419,183.6257163,182.8579325,179.5820877,180.9825111,182.7031995,181.6714253,184.3735804,180.5750259,181.1705163,181.3562558,181.003168,182.9391813,180.2636965,178.4321133,180.4621367,181.8132361,180.6455717,181.0623892,181.5573245,180.6583337,180.179295,181.114404,181.3666575,181.0590126,181.1929007,180.7627886,184.0212502,182.1673383,180.1927291,180.8985491,182.175228,182.5352579,180.5394553,182.1044866,178.2800674,181.3883709,181.7050434,181.3986528,181.5692596,179.6156872,182.7182279,181.5328495,179.0169692,181.1161441,181.0870851,183.6398742,181.7659608,182.406527,182.2287789,181.7856843,180.5150808,181.1869311,179.989316,181.7339109,181.5963783,182.3384388,181.3691704,181.0328181,181.2706365,182.3597209,182.585833,181.2329271,180.8953703,181.5247532,181.063113,180.7532383,180.8138529,181.2650939,178.7117104,,,,181.3399875,177.9109302
Generation 19,181.5244159,180.3217172,180.8924704,178.9255173,179.6869579,180.4446316,180.2127347,179.9513589,179.9891195,181.0036787,181.9287544,178.1537971,181.5847249,181.9607494,180.2361613,180.6604432,181.8889616,179.6091516,181.5703558,180.098722,182.9457051,179.6499767,178.4754241,182.7825401,181.4326273,178.0155059,181.4342374,180.8050661,179.0515707,180.3522824,182.3709996,179.0512173,179.8760037,181.4377998,179.4731161,180.4798154,178.2366497,181.8201306,181.0205089,182.3407722,181.7578562,179.527828,182.577515,181.2657964,181.7458268,180.0527898,181.5328241,180.3898431,178.0062956,182.2736827,182.3799639,179.5596697,181.308701,178.2418796,181.4964058,179.9114814,180.888964,181.292663,180.4663811,180.4498635,179.7702352,181.0834229,180.4979789,182.7481563,178.9296592,180.695304,177.5302341,179.2347526,178.4313646,178.9680904,181.7329666,178.2928102,183.3746048,180.3154206,179.3499782,179.7786058,180.6349773,181.3899855,180.3359027,182.5966732,181.2517534,182.1467912,183.2763677,180.0459535,179.2004543,180.2516678,180.9325099,180.2240974,180.926633,178.9375059,181.2718995,181.8385273,179.8282693,180.7100535,181.7546494,180.5061803,180.7845001,178.2581795,180.4893713,180.1422157,,,,180.5529131,177.5302341
